pause_trigger,condition,offset_img,delay_frames_after,scan day,gender,word_score_pc,delay_frames_before,word_label,word,no,pause_trigger_t,word_trigger,duration_measured_img,img_trigger,session,word_score_warriner,offset_word,duration_frames,correct_resp,response,ID,img,onset_img,onset_word,duration_measured_word,age,rt,key_t
31,faceWord_exp,3.582037600019248,200,Monday,female,-3.1565376907491283,120,pos,vacation,1,2.2831156000029296,11,0.2857444000255782,21,2,8.53,1.2829022000078112,18,1,b,JSN,image_stim_p.png,3.29629319999367,0.9941837000078522,0.288718499999959,23,0.6866138000041246,3.9829069999977946
41,faceWord_exp,9.514527899998939,200,Monday,female,-0.6680004122251881,120,neu,monkey,2,8.215441900014412,13,0.28611600000294857,21,2,5.82,7.215239100012695,18,1,b,JSN,image_stim_p.png,9.22841189999599,6.919781500007957,0.2954576000047382,23,0.5865648000035435,9.814976699999534
32,faceWord_exp,16.781159300007857,120,Monday,female,3.4296451702105397,200,neg,angry,3,14.148107999993954,12,0.28759290001471527,22,2,2.53,13.14782899999409,18,1,y,JSN,image_stim_n.png,16.493566399993142,12.851223900011973,0.29660509998211637,23,0.8043099000060465,17.29787629999919
31,faceWord_exp,21.379871000011917,200,Monday,female,-2.461915733068042,120,pos,embrace,4,20.080176100018434,11,0.2882471000193618,21,2,7.0,19.080552300001727,18,1,b,JSN,image_stim_p.png,21.091623899992555,18.783479000005173,0.29707329999655485,23,0.6721470000047702,21.763770899997326
31,faceWord_exp,28.645952499995474,120,Monday,female,-2.4114282062334524,200,pos,carnival,5,26.013156800006982,11,0.28812769998330623,21,2,6.48,25.013107300008414,18,1,b,JSN,image_stim_p.png,28.357824800012168,24.71604220001609,0.29706509999232367,23,0.505299999989802,28.86312480000197
31,faceWord_exp,34.57840570001281,120,Monday,female,-1.3205598447631597,200,pos,chicken,6,31.945922000013525,11,0.2866546000004746,21,2,6.17,30.94559180000215,18,1,b,JSN,image_stim_p.png,34.291751100012334,30.649139600020135,0.29645219998201355,23,0.4868672000011429,34.77861830001348
32,faceWord_exp,39.177628600009484,200,Monday,female,0.7321109855355353,120,neg,axe,7,37.87843310000608,12,0.28774960001464933,22,2,3.48,36.878050500003155,18,1,y,JSN,image_stim_n.png,38.889878999994835,36.581777200015495,0.2962732999876607,23,0.288202600000659,39.178081599995494
41,faceWord_exp,46.443452900013654,120,Monday,female,0.17918122123944408,200,neu,verb,8,43.810850900015794,13,0.2867876999953296,21,2,5.27,42.81080649999785,18,1,b,JSN,image_stim_p.png,46.156665200018324,42.51283950000652,0.29796699999133125,23,0.670814099983545,46.82747930000187
32,faceWord_exp,52.375950400019065,120,Monday,female,4.02985566434138,200,neg,problem,9,49.74344859999837,12,0.28821940001216717,22,2,3.52,48.742872600007104,18,1,y,JSN,image_stim_n.png,52.0877310000069,48.447059800004354,0.29581280000275,23,0.9554998000094201,53.04323080001632
32,faceWord_exp,56.97540409999783,200,Monday,female,0.2032181950076048,120,neg,lab,10,55.67622059999849,12,0.28814190000412054,22,2,4.57,54.67576889999327,18,1,y,JSN,image_stim_n.png,56.68726219999371,54.37771570001496,0.2980531999783125,23,1.0887201000005007,57.77598229999421
32,faceWord_exp,64.2414486000198,120,Monday,female,1.0482300490198866,200,neg,ricochet,11,61.60884490000899,12,0.28750310000032187,22,2,4.75,60.60836460001883,18,1,y,JSN,image_stim_n.png,63.95394550001947,60.31102819999796,0.2973364000208676,23,0.3707908999931533,64.32473640001263
41,faceWord_exp,68.84068520000437,200,Monday,female,0.4272037094573085,120,neu,scissors,12,67.5412495000055,13,0.2883575999876484,21,2,5.03,66.54088210000191,18,1,b,JSN,image_stim_p.png,68.55232760001672,66.24489590001758,0.29598619998432696,23,0.5886496999883093,69.14097730000503
32,faceWord_exp,74.77276469999924,200,Monday,female,1.3393636650983416,120,neg,heavy,13,73.47398090001661,12,0.28784219999215566,22,2,4.78,72.47354589999304,18,1,y,JSN,image_stim_n.png,74.48492250000709,72.17584159999387,0.29770429999916814,23,0.622332600003574,75.10725510001066
41,faceWord_exp,82.03888300000108,120,Monday,female,0.1106807997481866,200,neu,theory,14,79.40641880000476,13,0.2868026999931317,21,2,5.65,78.4061614999955,18,1,b,JSN,image_stim_p.png,81.75208030000795,78.10887110000476,0.297290399990743,23,0.5042636999860406,82.25634399999399
31,faceWord_exp,86.63841630000388,200,Monday,female,-1.5621536719325724,120,pos,sailboat,15,85.33881069999188,11,0.28723469999386,21,2,6.81,84.3385579000169,18,1,b,JSN,image_stim_p.png,86.35118160001002,84.04115219999221,0.29740570002468303,23,0.5544876999920234,86.90566930000205
31,faceWord_exp,92.57043110000086,200,Monday,female,-2.0702836690965865,120,pos,restaurant,16,91.2711175000004,11,0.2867647999955807,21,2,6.95,90.2709620000096,18,1,b,JSN,image_stim_p.png,92.28366630000528,89.9746363000013,0.2963257000083104,23,0.5706918000068981,92.85435810001218
31,faceWord_exp,99.83665380001185,120,Monday,female,-1.8879163634684628,200,pos,joke,17,97.20394460001262,11,0.28790049999952316,21,2,7.88,96.20398210000712,18,1,b,JSN,image_stim_p.png,99.54875330001232,95.90734279999742,0.2966393000097014,23,0.33865639998111874,99.88740969999344
32,faceWord_exp,104.43633369999588,200,Monday,female,3.222893544100452,120,neg,perjury,18,103.13655260001542,12,0.28864649997558445,22,2,2.95,102.13637170000584,18,1,y,JSN,image_stim_n.png,104.1476872000203,101.83890150001389,0.2974701999919489,23,0.32240059998002835,104.47008780000033
42,faceWord_exp,110.36861160001718,200,Monday,female,-0.18776275500974607,120,neu,speech,19,109.06926720001502,13,0.28705510002328083,22,2,5.62,108.06923950000782,18,1,y,JSN,image_stim_n.png,110.0815564999939,107.77163319999818,0.2976063000096474,23,0.5871904000232462,110.66874690001714
31,faceWord_exp,117.63443979999283,120,Monday,female,-2.5746228757417584,200,pos,barbecue,20,115.00170600001002,11,0.2877779999980703,21,2,7.1,114.00092310001492,18,1,b,JSN,image_stim_p.png,117.34666179999476,113.70444800000405,0.2964751000108663,23,0.3710534000128973,117.71771520000766
31,faceWord_exp,122.2339261000161,200,Monday,female,-1.0752281295040744,120,pos,mercy,21,120.9346755000006,11,0.28792830000747927,21,2,6.4,119.93408510001609,18,1,b,JSN,image_stim_p.png,121.94599780000863,119.63693559999228,0.29714950002380647,23,0.604775999992853,122.55077380000148
31,faceWord_exp,128.1662839000055,200,Monday,female,-1.6425048482978826,120,pos,knowledge,22,126.86707360000582,11,0.2876756000041496,21,2,7.28,125.86680129999877,18,1,b,JSN,image_stim_p.png,127.87860830000136,125.5710301999934,0.29577110000536777,23,0.4550976000027731,128.33370590000413
32,faceWord_exp,134.09910610000952,200,Monday,female,4.537930167489568,120,neg,terrorist,23,132.79989650001517,12,0.28633180001634173,22,2,2.35,131.79894780000905,18,1,y,JSN,image_stim_n.png,133.81277429999318,131.501723399997,0.2972244000120554,23,0.5533114999998361,134.36608579999302
41,faceWord_exp,140.03141600001254,200,Monday,female,0.10630403813009667,120,neu,whole,24,138.7321651999955,13,0.287927800003672,21,2,5.86,137.73223520000465,18,1,b,JSN,image_stim_p.png,139.74348820000887,137.4347476999974,0.2974875000072643,23,0.5718551999889314,140.3153433999978
41,faceWord_exp,147.29679930000566,120,Monday,female,0.0657349158769076,200,neu,camel,25,144.66485749999993,13,0.2862423000042327,21,2,5.29,143.66430239999318,18,1,b,JSN,image_stim_p.png,147.01055700000143,143.36695320002036,0.29734919997281395,23,0.5536475999979302,147.56420459999936
41,faceWord_exp,151.8966902999964,200,Monday,female,-0.049892793833906636,120,neu,nose,26,150.59736810001777,13,0.28762729998561554,21,2,5.5,149.597161600017,18,1,b,JSN,image_stim_p.png,151.6090630000108,149.29890480000176,0.29825680001522414,23,0.5378378999885172,152.1469008999993
41,faceWord_exp,159.16200630000094,120,Monday,female,-0.06058349899147484,200,neu,business,27,156.52962790001766,13,0.28686439999728464,21,2,5.48,155.52947080001468,18,1,b,JSN,image_stim_p.png,158.87514190000365,155.23227740000584,0.29719340000883676,23,0.5541152000078,159.42925710001145
41,faceWord_exp,165.0951602999994,120,Monday,female,0.650019808676411,200,neu,highway,28,162.46233860001666,13,0.28829500000574626,21,2,5.19,161.46228239999618,18,1,b,JSN,image_stim_p.png,164.80686529999366,161.16499620000832,0.297286199987866,23,0.4887004000192974,165.29556570001296
42,faceWord_exp,171.0274999999965,120,Monday,female,-0.02119054453060663,200,neu,power,29,168.3947341000021,13,0.28778059998876415,22,2,5.97,167.3947213999927,18,1,y,JSN,image_stim_n.png,170.73971940000774,167.09763989999192,0.29708150000078604,23,0.7886228999996092,171.52834230000735
31,faceWord_exp,175.62695770000573,200,Monday,female,-1.3503642789447028,120,pos,musical,30,174.3277680000174,11,0.28765280000516213,21,2,7.68,173.32734459999483,18,1,b,JSN,image_stim_p.png,175.33930490000057,173.0301191000035,0.2972254999913275,23,0.38818239999818616,175.72748729999876
32,faceWord_exp,182.89256460001343,120,Monday,female,-0.14866519221167074,200,neg,van,31,180.26002730001346,12,0.2860915000201203,22,2,4.43,179.25958020001417,18,1,y,JSN,image_stim_n.png,182.6064730999933,178.9614658000064,0.298114400007762,23,0.6701390000234824,183.2766121000168
31,faceWord_exp,187.4917487000057,200,Monday,female,-1.7947555393350414,120,pos,piano,32,186.1924810000055,11,0.28724390000570565,21,2,6.4,185.19205680000596,18,1,b,JSN,image_stim_p.png,187.2045048,184.89502450000145,0.29703230000450276,23,0.3216106000181753,187.52611540001817
32,faceWord_exp,193.42488410000806,200,Monday,female,0.16339675594021513,120,neg,jaw,33,192.12521290002041,12,0.28665630001341924,22,2,4.41,191.12521930001094,18,1,y,JSN,image_stim_n.png,193.13822779999464,190.82671300001675,0.29850629999418743,23,0.4372862000018358,193.57551399999647
32,faceWord_exp,199.35748700000113,200,Monday,female,3.561717315569441,120,neg,landslide,34,198.05762440001126,12,0.28780389999155886,22,2,4.76,197.05751959999907,18,1,y,JSN,image_stim_n.png,199.06968310000957,196.76051970000844,0.2969998999906238,23,0.6046002999937627,199.67428340000333
31,faceWord_exp,206.62273000000278,120,Monday,female,-1.2978987804410356,200,pos,artist,35,203.98963110000477,11,0.2868789999920409,21,2,6.76,202.9901014000061,18,1,b,JSN,image_stim_p.png,206.33585100001073,202.69250420000753,0.29759719999856316,23,0.5708228999865241,206.90667389999726
31,faceWord_exp,212.55576879999717,120,Monday,female,-1.7539828459428422,200,pos,spaghetti,36,209.92311619999236,11,0.28789949999190867,21,2,6.91,208.9222802000004,18,1,b,JSN,image_stim_p.png,212.26786930000526,208.6255829000147,0.29669729998568073,23,0.4549819999956526,212.7228513000009
42,faceWord_exp,217.1551357000135,200,Monday,female,-0.5451009915059291,120,neu,toaster,37,215.85558980001952,13,0.2883787000027951,22,2,5.8,214.8553790000151,18,1,y,JSN,image_stim_n.png,216.8667570000107,214.55763610001304,0.2977429000020493,23,0.7382336999871768,217.60499069999787
42,faceWord_exp,224.42059779999545,120,Monday,female,-0.34443889393116306,200,neu,asparagus,38,221.7882408000005,13,0.286410699976841,22,2,5.43,220.78801290001138,18,1,y,JSN,image_stim_n.png,224.1341871000186,220.4907487000164,0.2972641999949701,23,0.7197178999776952,224.8539049999963
42,faceWord_exp,230.35325670000748,120,Monday,female,0.3495373155897487,200,neu,winter,39,227.72093760001007,13,0.2874559999909252,22,2,5.5,226.72063540000818,18,1,y,JSN,image_stim_n.png,230.06580070001655,226.42328069999348,0.29735470001469366,23,0.521264799986966,230.58706550000352
41,faceWord_exp,234.95219989999896,200,Monday,female,-0.32263149533554664,120,neu,attribute,40,233.65306500002043,13,0.28606980000040494,21,2,5.67,232.65253510000184,18,1,b,JSN,image_stim_p.png,234.66613009999855,232.35535460000392,0.2971804999979213,23,0.5035679000138771,235.16969800001243
31,faceWord_exp,242.21878369999467,120,Monday,female,-2.2291915044129413,200,pos,luck,41,239.58598750000237,11,0.2881860999914352,21,2,6.73,238.5855903000047,18,1,b,JSN,image_stim_p.png,241.93059760000324,238.2871707000013,0.29841960000339895,23,0.33783930001663975,242.26843690001988
32,faceWord_exp,248.1510962000175,120,Monday,female,0.6502198887451732,200,neg,office,42,245.51856500000576,12,0.2874199000070803,22,2,4.54,244.51853729999857,18,1,y,JSN,image_stim_n.png,247.8636763000104,244.22170090000145,0.29683639999711886,23,0.7041010999819264,248.56777739999234
41,faceWord_exp,254.0837828000076,120,Monday,female,-0.8400509032218062,200,neu,store,43,251.45078210000065,13,0.2866985000146087,21,2,5.94,250.45050710000214,18,1,b,JSN,image_stim_p.png,253.797084299993,250.15345270000398,0.2970543999981601,23,0.47036669999943115,254.26745099999243
41,faceWord_exp,260.0162946000055,120,Monday,female,-0.09980687036967174,200,neu,eggplant,44,257.38353290001396,13,0.28702610000618733,21,2,5.55,256.38352910001413,18,1,b,JSN,image_stim_p.png,259.7292684999993,256.0864785000158,0.29705059999832883,23,0.5041309999942314,260.23339949999354
32,faceWord_exp,265.9487551000202,120,Monday,female,2.166481281776448,200,neg,plea,45,263.315900000016,12,0.28668190000462346,22,2,4.35,262.31587340001715,18,1,y,JSN,image_stim_n.png,265.6620732000156,262.0178758999973,0.2979975000198465,23,0.42034089998924173,266.0824141000048
31,faceWord_exp,271.88126670001657,120,Monday,female,-1.926056195769395,200,pos,fireworks,46,269.248497099994,11,0.2875052000163123,21,2,6.8,268.24835510001867,18,1,b,JSN,image_stim_p.png,271.59376150000026,267.95125509999343,0.29710000002523884,23,0.42123790000914596,272.0149994000094
31,faceWord_exp,276.4807502000185,200,Monday,female,-1.3695211950901562,120,pos,tree,47,275.18112049999763,11,0.28766230001929216,21,2,7.59,274.1807517000125,18,1,b,JSN,image_stim_p.png,276.1930878999992,273.8829960000003,0.2977557000122033,23,0.5713129000214394,276.76440080002067
31,faceWord_exp,283.7464237000095,120,Monday,female,-1.7608811602119443,200,pos,summer,48,281.11356650001835,11,0.2868175999901723,21,2,7.5,280.1133952999953,18,1,b,JSN,image_stim_p.png,283.4596061000193,279.8162746000162,0.29712069997913204,23,0.32062639997457154,283.7802324999939
42,faceWord_exp,289.6787095000036,120,Monday,female,0.3296196251321362,200,neu,pan,49,287.0461377000029,13,0.2879374999902211,22,2,5.15,286.04629040000145,18,1,y,JSN,image_stim_n.png,289.3907720000134,285.74840020001284,0.29789019998861477,23,0.488804299995536,289.8795763000089
31,faceWord_exp,295.61116640002,120,Monday,female,-2.7563434535584275,200,pos,optimism,50,292.97868650002056,11,0.28762460002326407,21,2,7.21,291.9789510999981,18,1,b,JSN,image_stim_p.png,295.32354179999675,291.68155770000885,0.2973933999892324,23,0.288054300006479,295.6115961000032
32,faceWord_exp,301.54411059999256,120,Monday,female,2.351878020671037,200,neg,tired,51,298.9114162000187,12,0.28752329997951165,22,2,4.29,297.9111557000142,18,1,y,JSN,image_stim_n.png,301.25658730001305,297.613731999998,0.29742370001622476,23,0.30488290000357665,301.56147020001663
32,faceWord_exp,306.1433854000061,200,Monday,female,1.472290472628449,120,neg,clang,52,304.8438361000153,12,0.28800490000867285,22,2,4.1,303.8436963999993,18,1,y,JSN,image_stim_n.png,305.8553804999974,303.5466548000113,0.29704159998800606,23,0.721924300014507,306.5773048000119
32,faceWord_exp,313.409041100007,120,Monday,female,2.373388118792564,200,neg,excuse,53,310.77657440002076,12,0.2864797000074759,22,2,4.52,309.77645100001246,18,0,b,JSN,image_stim_n.png,313.12256139999954,309.4790142000129,0.2974367999995593,23,0.33675220000441186,313.45931360000395
32,faceWord_exp,319.34153669999796,120,Monday,female,3.4738609063027237,200,neg,sick,54,316.70901479999884,12,0.28685410000616685,22,2,2.29,315.70846270001493,18,1,y,JSN,image_stim_n.png,319.0546825999918,315.41117080001277,0.29729190000216477,23,0.587143400014611,319.6418260000064
32,faceWord_exp,325.2745441000152,120,Monday,female,0.2623575316864496,200,neg,hoe,55,322.6416790999938,12,0.2887168000161182,22,2,4.8,321.6410596000205,18,1,y,JSN,image_stim_n.png,324.9858272999991,321.3431560000172,0.2979036000033375,23,0.3718822000082582,325.35770950000733
42,faceWord_exp,331.2068547999952,120,Monday,female,0.3228926581020319,200,neu,street,56,328.57426260001375,13,0.28729009997914545,22,2,5.07,327.5740374000161,18,1,y,JSN,image_stim_n.png,330.91956470001605,327.27711719999206,0.29692020002403297,23,0.5714486999786459,331.4910133999947
31,faceWord_exp,335.8058713999926,200,Monday,female,-1.2502658664257256,120,pos,day,57,334.5067484000174,11,0.28608469999744557,21,2,6.36,333.50661400001263,18,1,b,JSN,image_stim_p.png,335.51978669999517,333.2086563000048,0.29795770000782795,23,0.43703040000400506,335.95681709999917
42,faceWord_exp,343.0719577000127,120,Monday,female,-0.5485436049411244,200,neu,apartment,58,340.4390277999919,13,0.2878154000209179,22,2,5.72,339.43917769999825,18,1,y,JSN,image_stim_n.png,342.7841422999918,339.1422725000011,0.29690519999712706,23,0.7217267000232823,343.5058690000151
32,faceWord_exp,347.67102290000184,200,Monday,female,2.483224745184551,120,neg,cough,59,346.371501799993,12,0.2871356999967247,22,2,3.57,345.3717416000145,18,1,y,JSN,image_stim_n.png,347.3838872000051,345.0745499000186,0.2971916999958921,23,0.5045106000034139,347.88839780000853
32,faceWord_exp,354.93720800001756,120,Monday,female,0.5494484707734639,200,neg,stone,60,352.3047857999918,12,0.28737720000208355,22,2,4.81,351.30463719999534,18,1,y,JSN,image_stim_n.png,354.6498308000155,351.006982299994,0.29765490000136197,23,0.33783849998144433,354.9876692999969
