response,img_trigger,gender,word_trigger,offset_word,onset_img,word_score_pc,key_t,word_score_warriner,pause_trigger_t,pause_trigger,rt,session,delay_frames_after,ID,duration_measured_word,condition,img,correct_resp,duration_frames,age,scan day,delay_frames_before,onset_word,no,offset_img,word_label,word,duration_measured_img
b,21,male,13,1.7197697730152868,7.420431111007929,0.37753019343780747,8.039833265997004,5.43,2.7364149630302563,41,0.6194021549890749,4,180,24,0.7039176049875095,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,1.0158521680277772,1,8.11848118097987,neu,door,0.6980500699719414
y,22,male,12,12.135649894014932,17.94428102503298,2.8496222967354625,18.456275974982418,3.78,13.303173615015112,32,0.5119949499494396,4,180,24,1.0104130940162577,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,11.125236799998675,2,18.635650925978553,neg,empty,0.691369900945574
b,21,male,13,22.335868714028038,27.965756288031116,-0.7774272008663468,28.505540326004848,5.43,23.335541679000016,41,0.5397840379737318,4,180,24,0.694322876050137,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,21.6415458379779,3,28.667986323009245,neu,theme,0.702230034978129
y,22,male,12,32.385621640016325,35.427214641007595,0.19555716741692625,35.97151009703521,4.95,33.385770295979455,32,0.5442954560276121,4,336,24,0.7060407450189814,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,31.679580894997343,4,36.11857940000482,neg,majority,0.6913647589972243
b,22,male,12,42.417643288034014,45.44119359902106,3.668156535681199,46.087813229998574,3.52,43.41826514998684,32,0.6466196309775114,4,336,24,0.6942940980079584,faceWord_exp,image_stim_n.png,0,42,24,Monday,180,41.723349190026056,5,46.13419667998096,neg,battle,0.6930030809598975
b,21,male,13,52.43402059399523,58.07895057898713,-0.5273916336755435,58.77124902501237,5.83,53.43596977903508,41,0.6922984460252337,4,180,24,0.6917852759943344,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,51.742235318000894,6,58.78474257502239,neu,scientist,0.7057919960352592
y,22,male,12,62.48380032798741,68.10808636801085,-0.3663992490442602,68.48843819799367,3.36,63.48559167899657,32,0.38035182998282835,4,180,24,0.6930829449556768,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,61.79071738303173,7,68.80110254400643,neg,expensive,0.6930161759955809
b,21,male,11,72.50018820300465,78.14252512098756,-2.411716547027706,78.78769231698243,7.3,73.50199589401018,31,0.6451671959948726,4,180,24,0.6927340370020829,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,71.80745416600257,8,78.83460570703028,pos,flower,0.6920805860427208
y,22,male,13,82.53324894298567,88.1589879260282,0.29188517290671034,88.75445362500614,5.89,83.53370143898064,42,0.5954656989779323,4,180,24,0.6941541749984026,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,81.83909476798726,9,88.85084122797707,neu,guard,0.6918533019488677
y,22,male,13,92.5504078019876,98.19242945301812,0.18094025084207666,98.77083217102336,5.3,93.55142890301067,42,0.5784027180052362,4,180,24,0.6915086369845085,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,91.8588991650031,10,98.90023559902329,neu,journalist,0.7078061460051686
b,21,male,11,102.59939078101888,105.62402239901712,-1.5082836116280287,106.28697683598148,6.17,103.60012136999285,31,0.6629544369643554,4,336,24,0.6942528830259107,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,101.90513789799297,11,106.3167200370226,pos,kitchen,0.6926976380054839
b,21,male,11,112.61662772699492,115.64013180200709,-1.6859102219357711,116.27011744701304,6.42,113.61724734603195,31,0.6299856450059451,4,336,24,0.6958057919982821,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,111.92082193499664,12,116.3331791679957,pos,truce,0.6930473659886047
b,21,male,11,122.6496144880075,125.67229921498802,-2.8305869761860607,126.13581493101083,6.67,123.64957600098569,31,0.46351571602281183,4,336,24,0.6943219570093788,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,121.95529253099812,13,126.36623030301416,pos,gratitude,0.6939310880261473
b,21,male,11,132.66528101701988,135.6900563770323,-1.883093263099396,136.15292715199757,6.15,133.6659579380066,31,0.46287077496526763,4,336,24,0.6949784600292332,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,131.97030255699065,14,136.38261408603285,pos,choir,0.692557709000539
b,21,male,11,142.69829757203115,145.72460159298498,-2.066768843681998,146.26928753498942,7.27,143.70018955803243,31,0.5446859420044348,4,336,24,0.6949174190522172,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,142.00338015297893,15,146.43233199598035,pos,honey,0.7077304029953666
b,21,male,13,152.73149274801835,158.35607530199923,-0.9031069202434168,158.78541955701075,5.84,153.73326638602884,41,0.42934425501152873,4,180,24,0.6921179030323401,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,152.039374844986,16,159.0491899669869,neu,boy,0.6931146649876609
b,21,male,11,162.74783234100323,168.3710560600157,-1.7294291477603156,168.7344050470274,7.0,163.74854356102878,31,0.3633489870117046,4,180,24,0.6954271279973909,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,162.05240521300584,17,169.06510967802024,pos,dog,0.6940536180045456
b,22,male,12,172.7642366940272,175.7885445440188,3.803034067475641,176.13452444702853,2.76,173.76570720900781,32,0.34597990300972015,4,336,24,0.6949111300054938,faceWord_exp,image_stim_n.png,0,42,24,Monday,180,172.0693255640217,18,176.48156816599658,neg,flood,0.6930236219777726
y,22,male,12,182.79805736802518,185.82372911198763,3.9974740190684885,186.2344247099827,2.55,183.79797417501686,32,0.4106955979950726,4,336,24,0.6942408549948595,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,182.10381651303032,19,186.5312651580316,neg,accident,0.7075360460439697
b,21,male,11,192.83097470499342,198.4540311730234,-1.7974288604529352,198.83489557000576,6.53,193.83108093001647,31,0.38086439698236063,4,180,24,0.6953683389583603,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,192.13560636603506,20,199.14687259797938,pos,bonfire,0.6928414249559864
y,22,male,13,202.8467985590105,208.47084779798752,0.6669259665908855,208.85086565703386,5.38,203.84756875800667,42,0.38001785904634744,4,180,24,0.6941841230145656,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,202.15261443599593,21,209.16404863999924,neu,businessman,0.6932008420117199
b,21,male,11,212.86319988698233,215.8872145320056,-2.1205664047688315,216.25123644800624,7.24,213.86499450099654,31,0.36402191600063816,4,336,24,0.6952645959681831,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,212.16793529101415,22,216.58053005399415,pos,trust,0.6933155219885521
y,22,male,12,222.8963154029916,225.93812194600469,3.4698173961771306,226.31730002298718,3.4,223.8981450489955,32,0.37917807698249817,4,336,24,0.7072069129790179,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,222.1891084900126,23,226.63027784897713,neg,animosity,0.6921559029724449
y,22,male,12,232.93008848902537,235.95419392298209,4.5355840269859025,236.48385750700254,2.53,233.93078922998393,32,0.5296635840204544,4,336,24,0.6956032880116254,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,232.23448520101374,24,236.64664109703153,neg,torment,0.6924471740494482
b,21,male,11,242.94667940499494,245.97006982698804,-1.301667818567906,246.38262672099518,6.71,243.94732906803256,31,0.4125568940071389,4,336,24,0.6959123570122756,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,242.25076704798266,25,246.66231118002906,pos,bicycle,0.6922413530410267
y,22,male,12,252.96215684799245,255.98597979103215,0.42679466080263373,256.59972842002753,4.75,253.96279663598398,32,0.6137486289953813,4,336,24,0.694399947009515,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,252.26775690098293,26,256.6794843560201,neg,zone,0.6935045649879612
b,21,male,11,262.9785557659925,266.00294905802,-2.93465986085152,266.5987662129919,6.84,263.97924155998044,31,0.5958171549718827,4,336,24,0.6947553849895485,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,262.28380038100295,27,266.69623435201356,pos,festival,0.6932852939935401
b,21,male,11,272.99494905298343,278.61945104802726,-2.303583541830637,279.1823913709959,6.68,273.9967540380312,31,0.5629403229686432,4,180,24,0.6949409219669178,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,272.3000081310165,28,279.3126330380328,pos,wonder,0.6931819900055416
b,22,male,12,283.011324075982,288.6356373230228,2.0765857872261098,289.4656405299902,3.52,284.0120117380284,32,0.8300032069673762,4,180,24,0.6938053259509616,faceWord_exp,image_stim_n.png,0,42,24,Monday,336,282.317518750031,29,289.328562884999,neg,court,0.6929255619761534
y,22,male,12,293.0276593460003,296.052782209008,-0.10198134801944247,296.6655685339938,4.16,294.0284231660189,32,0.612786324985791,4,336,24,0.6919609609758481,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,292.33569838502444,30,296.74499473703327,neg,saw,0.6922125280252658
b,22,male,13,303.0441166780074,308.6674626250169,-0.4880378396985329,309.11519267002586,5.68,304.0460563880042,42,0.44773004500893876,4,180,24,0.6938048449810594,faceWord_exp,image_stim_n.png,0,42,24,Monday,336,302.35031183302635,31,309.3614252739935,neu,chestnut,0.6939626489765942
y,22,male,12,313.0613524700166,316.0847411180148,2.7422742606943906,316.6814818889834,4.0,314.061992485018,32,0.5967407709686086,4,336,24,0.6947531700134277,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,312.36659930000314,32,316.77784077299293,neg,fallacy,0.6930996549781412
b,21,male,11,323.07694049499696,328.700104966003,-1.2094761189992442,329.1631088849972,6.73,324.07876321999356,31,0.4630039189942181,4,180,24,0.6949228440062143,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,322.38201765099075,33,329.3942174410331,pos,parent,0.6941124750301242
y,22,male,13,333.09335009602364,336.11760320002213,-0.05436507667908295,337.0476371970144,5.59,334.09515721100615,42,0.9300339969922788,4,336,24,0.6951676540193148,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,332.3981824420043,34,336.81073155702325,neu,mouth,0.6931283570011146
b,21,male,11,343.10981574002653,348.73203899001237,-1.3206920491180312,349.26413634902565,6.32,344.1115504030022,31,0.532097359013278,4,180,24,0.6938325270311907,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,342.41598321299534,35,349.42627037799684,pos,harmonica,0.6942313879844733
b,21,male,11,353.1259566840017,358.7506101800245,-1.17416436554964,359.2135132870171,7.23,354.12806989002274,31,0.4629031069925986,4,180,24,0.6953453269670717,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,352.43061135703465,36,359.44385824602796,pos,bay,0.6932480660034344
b,21,male,13,363.14241770398803,368.76898909098236,-0.6996261236875504,369.4799905390246,5.67,364.14327547198627,41,0.7110014480422251,4,180,24,0.6915338959661312,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,362.4508838080219,37,369.4762332980172,neu,bell,0.7072442070348188
b,21,male,11,373.17562937998446,376.1999109740136,-1.5215329943370883,376.6969356770278,6.52,374.1762405600166,31,0.49702470301417634,4,336,24,0.6950440589571372,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,372.4805853210273,38,376.89296140300576,pos,bread,0.6930504289921373
y,22,male,13,383.1920006329892,388.81627832201775,0.3545861367636661,389.41272782400483,5.09,384.19277671101736,42,0.596449501987081,4,180,24,0.6954941229778342,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,382.4965065100114,39,389.5085191039834,neu,put,0.6922407819656655
y,22,male,13,393.20843948202673,396.2327916279901,-2.547043884761341,396.8623231939855,5.85,394.20911059202626,42,0.6295315659954213,4,336,24,0.6949570620199665,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,392.51348242000677,40,396.92557302402565,neu,circus,0.6927813960355707
y,22,male,12,403.22478785703424,406.24927072698483,1.95458394600482,406.7458620300167,4.03,404.2255062609911,32,0.4965913030318916,4,336,24,0.6938566210446879,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,402.53093123598956,41,406.9424736810033,neg,snake,0.6932029540184885
y,22,male,12,413.24107383401133,418.864490123,4.2176174504439885,419.41214306798065,2.62,414.2417442389997,32,0.5476529449806549,4,180,24,0.694708270020783,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,412.54636556399055,42,419.55774608498905,neg,insult,0.6932559619890526
b,21,male,13,423.2587117200019,426.28198018600233,0.1872293205875,426.8453089080285,5.95,424.25853706902126,41,0.5633287220261991,4,336,24,0.6949457669979893,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,422.5637659530039,43,426.9749067100347,neu,elevator,0.692926524032373
y,22,male,12,433.2906930759782,438.9164906310034,2.8314410724962364,439.5119257019833,3.57,434.29261596599827,32,0.5954350709798746,4,180,24,0.7070194899570197,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,432.5836735860212,44,439.6082730140188,neg,denial,0.6917823830153793
b,21,male,13,443.30706465401454,446.3319327600184,-0.29144085929118746,446.8118746409891,5.9,444.3083076219773,41,0.47994188097072765,4,336,24,0.6953913909965195,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,442.611673263018,45,447.0243823489873,neu,hand,0.6924495889688842
y,22,male,13,453.32400391000556,458.9473894549883,0.12602488928311428,459.56061275600223,5.1,454.32414370100014,42,0.6132233010139316,4,180,24,0.6951490070205182,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,452.62885490298504,46,459.64122430002317,neu,shoulder,0.6938348450348713
b,21,male,11,463.34068315598415,466.36409439798445,-1.426145970237633,466.94292334403144,6.26,464.3418037649826,31,0.5788289460469969,4,336,24,0.6961108609684743,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,462.6445722950157,47,467.0565325579955,pos,lust,0.6924381600110792
y,22,male,12,473.35628168901894,479.0126557269832,3.1835494020570807,479.70935328601627,3.17,474.3910980630317,32,0.6966975590330549,4,180,24,0.6945324550033547,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,472.6617492340156,48,479.7059235179913,neg,explosion,0.6932677910081111
b,21,male,13,483.40677114302525,489.02920339797856,0.0196438746392397,489.6099259100156,5.95,484.40752368501853,41,0.5807225120370276,4,180,24,0.6956472670426592,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,482.7111238759826,49,489.72249145101523,neu,worker,0.6932880530366674
y,22,male,12,493.4223969260347,496.4464382349979,0.060511318752979076,496.74327972799074,4.83,494.424181682989,32,0.2968414929928258,4,336,24,0.6954817660152912,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,492.7269151600194,50,497.1390179709997,neg,pig,0.6925797360017896
y,22,male,13,503.4395692209946,506.4642560770153,0.4395766978022416,507.1596682590316,5.67,504.4395011900342,42,0.6954121820162982,4,336,24,0.6961427429923788,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,502.7434264780022,51,507.15593460103264,neu,red,0.691678524017334
y,22,male,13,513.4561847469886,519.0808576060226,0.4398740830446768,519.6931704750168,5.89,514.4569708339986,42,0.612312868994195,4,180,24,0.6926970979548059,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,512.7634876490338,52,519.7717209429829,neu,hall,0.6908633369603194
b,21,male,11,523.4723798480118,526.4961474600132,-2.30162279277581,527.1251596210059,7.05,524.4730730620213,31,0.6290121609927155,4,336,24,0.6955651119933464,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,522.7768147360184,53,527.1889838459902,pos,heroism,0.6928363859769888
b,21,male,11,533.4880256149918,539.1111995429965,-3.0311112754680245,539.5759474150254,7.75,534.4898613970145,31,0.4647478720289655,4,180,24,0.6951046700123698,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,532.7929209449794,54,539.8046296759858,pos,peace,0.693430132989306
y,22,male,12,543.5044228989864,549.1281236369978,2.6978270877422883,549.5423290409963,3.02,544.5050599200185,32,0.41420540399849415,4,180,24,0.6949929489637725,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,542.8094299500226,55,549.8208742510178,neg,scream,0.6927506140200421
b,22,male,13,553.5207731400151,556.5497068259865,-0.4066038871991289,556.9072422939935,5.79,554.5225979749812,42,0.3575354680069722,4,336,24,0.6946390850353055,faceWord_exp,image_stim_n.png,0,42,24,Monday,180,552.8261340549798,56,557.25483790203,neu,baseball,0.7051310760434717
b,21,male,13,563.5705810069921,569.1945623970241,-0.9453395472380092,569.658498616016,5.91,564.5720903020119,41,0.46393621899187565,4,180,24,0.6945968079962768,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,562.8759841989959,57,569.8877859130153,neu,team,0.6932235159911215
y,22,male,12,573.5868744920008,576.6113370510284,0.7532200949518182,577.2078463429934,4.19,574.588337950001,32,0.5965092919650488,4,336,24,0.6945288180140778,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,572.8923456739867,58,577.3035605539917,neg,loan,0.6922235029633157
b,21,male,11,583.6366255509784,586.6616980070248,-1.2316584124512135,587.5580720460275,6.35,584.6383947419818,31,0.8963740390026942,4,336,24,0.707015091960784,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,582.9296104590176,59,587.3532008270267,pos,banjo,0.6915028200019151
y,22,male,12,593.6538306470029,599.2766232480062,2.7437052692255306,599.5898544780212,4.48,594.6542542040115,32,0.31323123001493514,4,180,24,0.696646582975518,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,592.9571840640274,60,599.970288549026,neg,stampede,0.6936653010197915
