word,no,offset_img,word_trigger,ID,offset_word,condition,scan day,duration_frames,duration_measured_word,gender,rt,pause_trigger,pause_trigger_t,delay_frames_before,onset_img,delay_frames_after,duration_measured_img,word_score_warriner,age,word_label,response,img,key_t,correct_resp,session,word_score_pc,img_trigger,onset_word
election,1,5.48279360000015,12,gr1nr2,1.7349042999994708,faceWord_exp,Monday,42,0.691005500000756,female,0.6217484000007971,32,2.7358720999982324,180,4.797314699997514,336,0.6854789000026358,4.5,25,neg,y,image_stim_n.png,5.419063099998311,1,5,0.5712560851538326,22,1.0438987999987148
mob,2,15.557104999999865,12,gr1nr2,11.811231100000441,faceWord_exp,Monday,42,0.6974855000007665,female,0.4510064999994938,32,12.811505699999543,180,14.875424999998359,336,0.6816800000015064,3.7,25,neg,y,image_stim_n.png,15.326431499997852,1,5,2.490397821352158,22,11.113745599999675
corn,3,25.64833379999982,13,gr1nr2,21.85270440000022,faceWord_exp,Monday,42,0.6815215999995416,female,0.5966374999989057,41,22.852900199999567,180,24.970301400000608,336,0.6780323999992106,5.95,25,neu,b,image_stim_p.png,25.566938899999514,1,5,-1.235914274808286,21,21.17118280000068
theater,4,35.77398990000074,11,gr1nr2,31.95835309999893,faceWord_exp,Monday,42,0.6842351000013878,female,0.4402230000014242,31,32.96153599999889,180,35.08797129999948,336,0.6860186000012618,6.14,25,pos,b,image_stim_p.png,35.528194300000905,1,5,-1.8816288507581482,21,31.274117999997543
banker,5,45.848986299999524,12,gr1nr2,42.08791460000066,faceWord_exp,Monday,42,0.6916101000024355,female,0.3765891000002739,32,43.085983699998906,180,45.15942549999818,336,0.6895608000013453,4.89,25,neg,y,image_stim_n.png,45.53601459999845,1,5,0.8708146708303101,22,41.39630449999822
ant,6,55.90960559999803,12,gr1nr2,52.143930199999886,faceWord_exp,Monday,42,0.6812156000014511,female,0.3653840000006312,32,53.1433111999977,180,55.22915799999828,336,0.6804475999997521,3.9,25,neg,y,image_stim_n.png,55.59454199999891,1,5,1.5300907112092572,22,51.462714599998435
bus,7,65.96592740000051,13,gr1nr2,62.21821869999985,faceWord_exp,Monday,42,0.6812620000018796,female,0.4120017999994161,41,63.22007250000024,180,65.2772604999991,336,0.6886669000014081,5.12,25,neu,b,image_stim_p.png,65.68926229999852,1,5,0.5156614996478043,21,61.53695669999797
spring,8,76.0900464999977,11,gr1nr2,72.27715519999765,faceWord_exp,Monday,42,0.6863875999988522,female,0.35574819999965257,31,73.27890190000107,180,75.40152269999817,336,0.6885237999995297,7.64,25,pos,b,image_stim_p.png,75.75727089999782,1,5,-2.625984580876632,21,71.5907675999988
mandolin,9,86.15028289999827,13,gr1nr2,82.38550249999753,faceWord_exp,Monday,42,0.6821079999972426,female,0.5242449999968812,41,83.38827619999938,180,85.46089320000101,336,0.689389699997264,5.7,25,neu,b,image_stim_p.png,85.98513819999789,1,5,-1.4097678477610591,21,81.70339450000029
tulip,10,96.2405308999987,11,gr1nr2,92.445143500001,faceWord_exp,Monday,42,0.692949200001749,female,0.4813685999979498,31,93.44502199999988,180,95.5481276999999,336,0.6924031999988074,7.25,25,pos,b,image_stim_p.png,96.02949629999785,1,5,-2.547338598571031,21,91.75219429999925
cab,11,108.88199030000033,12,gr1nr2,102.53558619999967,faceWord_exp,Monday,42,0.6835405999991053,female,0.5586438999998791,32,103.53674549999778,336,108.20307200000025,180,0.6789183000000776,4.81,25,neg,y,image_stim_n.png,108.76171590000013,1,5,0.1828236131989572,22,101.85204560000057
intellect,12,118.97325409999758,11,gr1nr2,112.59522239999933,faceWord_exp,Monday,42,0.6900898999992933,female,0.6128540999998222,31,113.59485439999844,336,118.279228899999,180,0.6940251999985776,6.62,25,pos,b,image_stim_p.png,118.89208299999882,1,5,-2.249771083793789,21,111.90513250000004
desk,13,129.09791589999804,13,gr1nr2,122.68835169999875,faceWord_exp,Monday,42,0.6970903000001272,female,0.918243000000075,41,123.69082889999845,336,128.41597489999913,180,0.6819409999989148,5.56,25,neu,b,image_stim_p.png,129.3342178999992,1,5,0.16108323717668446,21,121.99126139999862
army,14,136.54060489999756,12,gr1nr2,132.8083540000007,faceWord_exp,Monday,42,0.6918618000017887,female,0.4751918999972986,32,133.80957470000067,180,135.84815510000044,336,0.6924497999971209,4.65,25,neg,y,image_stim_n.png,136.32334699999774,1,5,1.399169263323496,22,132.1164921999989
stapler,15,149.19686369999908,13,gr1nr2,142.85058849999768,faceWord_exp,Monday,42,0.6919883999980811,female,0.38408460000209743,42,143.85321929999918,336,148.51821239999845,180,0.678651300000638,5.25,25,neu,y,image_stim_n.png,148.90229700000054,1,5,0.19443075193465506,22,142.1586000999996
carrot,16,159.27308730000004,13,gr1nr2,152.9116427000008,faceWord_exp,Monday,42,0.696635200001765,female,0.6475747000004048,41,153.91318780000074,336,158.5935740999994,180,0.6795132000006561,5.79,25,neu,b,image_stim_p.png,159.2411487999998,1,5,-0.32385553549685003,21,152.21500749999905
apricot,17,166.73098059999757,13,gr1nr2,162.98632569999972,faceWord_exp,Monday,42,0.6961726000008639,female,0.880727100000513,42,163.98771040000065,180,166.0394027000002,336,0.6915778999973554,5.95,25,neu,y,image_stim_n.png,166.92012980000072,1,5,-1.2450836009557775,22,162.29015309999886
clue,18,176.75570139999763,13,gr1nr2,173.02734259999852,faceWord_exp,Monday,42,0.6808908999992127,female,0.8356325999993715,42,174.02839179999864,180,176.07562999999936,336,0.680071399998269,5.38,25,neu,y,image_stim_n.png,176.91126259999874,1,5,0.07992973296861662,22,172.3464516999993
mushroom,19,186.81404750000002,13,gr1nr2,183.0520503000007,faceWord_exp,Monday,42,0.6799118000017188,female,0.8978048999997554,42,184.0543245000008,180,186.13838269999906,336,0.6756648000009591,5.61,25,neu,y,image_stim_n.png,187.0361875999988,1,5,0.08756588783899029,22,182.37213849999898
drum,20,196.83782879999853,11,gr1nr2,193.10796109999865,faceWord_exp,Monday,42,0.6928588000009768,female,0.5534354000010353,31,194.10767309999937,180,196.1526613999995,336,0.6851673999990453,6.05,25,pos,b,image_stim_p.png,196.70609680000052,1,5,-1.4373817092238501,21,192.41510229999767
curse,21,209.42888540000058,12,gr1nr2,203.13288029999967,faceWord_exp,Monday,42,0.6790450000007695,female,0.5827176999991934,32,204.13505839999925,336,208.74835069999972,180,0.6805347000008624,2.9,25,neg,y,image_stim_n.png,209.3310683999989,1,5,3.659937177091274,22,202.4538352999989
bed,22,216.9083068,11,gr1nr2,213.1451386000008,faceWord_exp,Monday,42,0.6981426000020292,female,0.38887090000207536,31,214.14780170000085,180,216.22324039999876,336,0.685066400001233,7.16,25,pos,b,image_stim_p.png,216.61211130000083,1,5,-1.962809513975644,21,212.44699599999876
engineer,23,226.99997090000033,13,gr1nr2,223.21968099999867,faceWord_exp,Monday,42,0.6923513000001549,female,0.605235700000776,41,224.2202225000001,180,226.31500819999928,336,0.6849627000010514,5.79,25,neu,b,image_stim_p.png,226.92024390000006,1,5,-0.41434578466507305,21,222.52732969999852
rum,24,237.03934749999826,13,gr1nr2,233.29430969999885,faceWord_exp,Monday,42,0.6807628999995359,female,0.5108112000016263,41,234.29551159999755,180,236.3644237999979,336,0.6749237000003632,5.57,25,neu,b,image_stim_p.png,236.87523499999952,1,5,-1.1343736111597311,21,232.6135467999993
company,25,247.10021419999975,13,gr1nr2,243.35285210000075,faceWord_exp,Monday,42,0.696339900001476,female,0.5502417999996396,41,244.3535243999977,180,246.41957639999964,336,0.6806378000001132,5.64,25,neu,b,image_stim_p.png,246.96981819999928,1,5,0.4587040848007746,21,242.65651219999927
dictation,26,257.1745942999987,12,gr1nr2,253.411202700001,faceWord_exp,Monday,42,0.6840491000002658,female,0.3701108999994176,32,254.4125548999982,180,256.4867517999992,336,0.6878424999995332,4.26,25,neg,y,image_stim_n.png,256.8568626999986,1,5,0.7498341013103271,22,252.72715360000075
ticket,27,267.2169541000003,13,gr1nr2,263.4722451999987,faceWord_exp,Monday,42,0.6978638000000501,female,0.46329360000163433,41,264.4715271999994,180,266.53854619999765,336,0.6784079000026395,5.28,25,neu,b,image_stim_p.png,267.0018397999993,1,5,-0.7502239645266248,21,262.7743813999987
tea,28,279.89394990000073,11,gr1nr2,273.51136269999915,faceWord_exp,Monday,42,0.6844783999986248,female,0.3426064999985101,31,274.5123179000002,336,279.2005566000007,180,0.6933933000000252,6.56,25,pos,b,image_stim_p.png,279.5431630999992,1,5,-1.410303556989907,21,272.82688430000053
applause,29,287.3669038000007,11,gr1nr2,283.60319119999986,faceWord_exp,Monday,42,0.691429499998776,female,0.37323560000004363,31,284.60305359999984,180,286.68051249999917,336,0.68639130000156,7.12,25,pos,b,image_stim_p.png,287.0537480999992,1,5,-2.3591802685249372,21,282.9117617000011
television,30,300.02330019999863,11,gr1nr2,293.68043079999916,faceWord_exp,Monday,42,0.687305200000992,female,0.3047874000003503,31,294.68327959999806,336,299.3398836999986,180,0.6834165000000212,7.18,25,pos,b,image_stim_p.png,299.64467109999896,1,5,-1.295378487470534,21,292.99312559999817
cash,31,310.0659018999977,11,gr1nr2,303.7206331999987,faceWord_exp,Monday,42,0.6811066000009305,female,0.3633582000002207,31,304.71883829999933,336,309.38414719999855,180,0.6817546999991464,7.51,25,pos,b,image_stim_p.png,309.7475053999988,1,5,-1.6872526925643307,21,303.03952659999777
awe,32,317.5083326999993,11,gr1nr2,313.75970980000056,faceWord_exp,Monday,42,0.6864535000022443,female,0.5855034999985946,31,314.7632604999999,180,316.82658699999956,336,0.6817456999997376,6.85,25,pos,b,image_stim_p.png,317.41209049999816,1,5,-2.1428059827362134,21,313.0732562999983
penguin,33,330.16277459999765,11,gr1nr2,323.8180637000005,faceWord_exp,Monday,42,0.6949754000015673,female,0.38128770000184886,31,324.81751950000034,336,329.48128449999786,180,0.6814900999997917,6.65,25,pos,b,image_stim_p.png,329.8625721999997,1,5,-1.2194148821621404,21,323.1230882999989
newspaper,34,340.22261190000063,13,gr1nr2,333.85867719999806,faceWord_exp,Monday,42,0.6776114999993297,female,0.32678650000161724,41,334.8631458999989,336,339.53194059999805,180,0.6906713000025775,5.11,25,neu,b,image_stim_p.png,339.85872709999967,1,5,0.3309936143559913,21,333.1810656999987
editor,35,347.68579859999954,13,gr1nr2,343.9365474999977,faceWord_exp,Monday,42,0.6823814999988826,female,0.6302084999988438,41,344.9375618999984,180,347.00574179999967,336,0.6800567999998748,5.43,25,neu,b,image_stim_p.png,347.6359502999985,1,5,0.14106522732466809,21,343.2541659999988
cherry,36,357.7422278999984,11,gr1nr2,353.97641680000015,faceWord_exp,Monday,42,0.6778610000001208,female,0.4106782999988354,31,354.9792712999988,180,357.0504856000007,336,0.6917422999977134,7.05,25,pos,b,image_stim_p.png,357.4611638999995,1,5,-1.7441234463665167,21,353.29855580000003
morning,37,367.7985860999979,11,gr1nr2,364.05023509999955,faceWord_exp,Monday,42,0.6917942000000039,female,0.35452779999832273,31,365.04976899999747,180,367.11371660000077,336,0.6848694999971485,6.41,25,pos,b,image_stim_p.png,367.4682443999991,1,5,-1.211925852261804,21,363.35844089999955
friendly,38,377.9086839999982,11,gr1nr2,374.11364400000093,faceWord_exp,Monday,42,0.6922810000032769,female,0.34648699999888777,31,375.11266329999853,180,377.23164800000086,336,0.6770359999973152,7.84,25,pos,b,image_stim_p.png,377.57813499999975,1,5,-2.9544920916265727,21,373.42136299999765
jealousy,39,390.59816859999773,12,gr1nr2,384.21831849999944,faceWord_exp,Monday,42,0.6817454000010912,female,0.33707180000055814,32,385.21876509999856,336,389.90949629999886,180,0.6886722999988706,2.58,25,neg,y,image_stim_n.png,390.2465680999994,1,5,3.693241029119933,22,383.53657309999835
wit,40,398.0079912000001,11,gr1nr2,394.2917429000008,faceWord_exp,Monday,42,0.696158300001116,female,0.547023099999933,31,395.2925987999988,180,397.33113369999774,336,0.6768575000023702,7.25,25,pos,b,image_stim_p.png,397.87815679999767,1,5,-1.2397352233188434,21,393.5955845999997
ambulance,41,408.0839745999983,12,gr1nr2,404.3200957000008,faceWord_exp,Monday,42,0.6959539000017685,female,0.4773609999974724,32,405.32126079999944,180,407.39824640000006,336,0.6857281999982661,3.71,25,neg,y,image_stim_n.png,407.87560739999753,1,5,2.2468136409924253,22,403.62414179999905
hairbrush,42,418.1773675999975,13,gr1nr2,414.3960311999981,faceWord_exp,Monday,42,0.6856367999971553,female,0.48128449999785516,41,415.39312119999886,180,417.48132780000014,336,0.6960397999973793,5.95,25,neu,b,image_stim_p.png,417.962612299998,1,5,-0.4963231956276321,21,413.71039440000095
mosquito,43,430.82865089999905,12,gr1nr2,424.47177699999884,faceWord_exp,Monday,42,0.6813058999978239,female,0.3143597000016598,32,425.4712560000007,336,430.1535671999991,180,0.6750836999999592,3.12,25,neg,y,image_stim_n.png,430.46792690000075,1,5,2.9843905620469613,22,423.790471100001
peaceful,44,440.8575270000001,11,gr1nr2,434.5288584000009,faceWord_exp,Monday,42,0.6894732000000658,female,0.37400069999785046,31,435.5312841999985,336,440.16936540000097,180,0.6881615999991482,8.0,25,pos,b,image_stim_p.png,440.5433660999988,1,5,-2.641671297166366,21,433.83938520000083
screech,45,448.2641947999982,12,gr1nr2,444.5704549000002,faceWord_exp,Monday,42,0.6918169000018679,female,0.4107318000023952,32,445.5717259999983,180,447.58766339999784,336,0.6765314000003855,3.5,25,neg,y,image_stim_n.png,447.99839520000023,1,5,2.424733943851676,22,443.8786379999983
tangerine,46,460.9905121999982,11,gr1nr2,454.56152329999895,faceWord_exp,Monday,42,0.6951267000004009,female,0.39304379999884986,31,455.5630609,336,460.30237549999947,180,0.6881366999987222,6.81,25,pos,b,image_stim_p.png,460.6954192999983,1,5,-1.178487968131687,21,453.86639659999855
dead,47,468.4509462999995,12,gr1nr2,464.68881019999753,faceWord_exp,Monday,42,0.6820315999975719,female,0.39504609999858076,32,465.68923630000063,180,467.75954529999944,336,0.6914010000000417,2.02,25,neg,b,image_stim_n.png,468.154591399998,0,5,4.0294120701769724,22,464.00677859999996
arm,48,481.10512200000085,13,gr1nr2,474.7424076999996,faceWord_exp,Monday,42,0.6951207999991311,female,0.7607573999994202,42,475.74263079999946,336,480.4155154,180,0.6896066000008432,5.44,25,neu,y,image_stim_n.png,481.1762727999994,1,5,-0.2527650722021685,22,474.0472869000005
riot,49,491.1820341999992,12,gr1nr2,484.8174758999994,faceWord_exp,Monday,42,0.681712300000072,female,0.35967530000198167,32,485.822825700001,336,490.492223199999,180,0.6898110000001907,3.15,25,neg,y,image_stim_n.png,490.85189850000097,1,5,3.227422121163128,22,484.13576359999934
dread,50,501.22364910000033,12,gr1nr2,494.8806904999983,faceWord_exp,Monday,42,0.6923776999974507,female,0.3669264000018302,32,495.8826540000009,336,500.54059009999764,180,0.6830590000026859,3.0,25,neg,y,image_stim_n.png,500.9075164999995,1,5,4.006417686109669,22,494.18831280000086
dangerous,51,508.6142851000004,12,gr1nr2,504.9177039999995,faceWord_exp,Monday,42,0.6957589000012376,female,0.3617703999989317,32,505.91801209999903,180,507.93716779999886,336,0.6771173000015551,2.33,25,neg,y,image_stim_n.png,508.2989381999978,1,5,3.17672342877373,22,504.22194509999827
number,52,521.2737931000011,13,gr1nr2,514.9096830999988,faceWord_exp,Monday,42,0.6960746000004292,female,0.6135838999980479,41,515.9098295000003,336,520.5809671999996,180,0.6928259000014805,5.59,25,neu,b,image_stim_p.png,521.1945510999976,1,5,0.2374341841762725,21,514.2136084999984
water,53,531.3500490999977,11,gr1nr2,524.9718336999977,faceWord_exp,Monday,42,0.680259599997953,female,0.4251918999980262,31,525.9735370999988,336,530.6619387999999,180,0.6881102999977884,7.0,25,pos,y,image_stim_p.png,531.0871306999979,0,5,-1.2320142343270626,21,524.2915740999997
vice,54,538.8242205999995,12,gr1nr2,535.0628476999991,faceWord_exp,Monday,42,0.696427599999879,female,0.7484713999983796,32,536.0643801000006,180,538.1321575000002,336,0.6920630999993591,3.81,25,neg,y,image_stim_n.png,538.8806288999986,1,5,2.1399531488678094,22,534.3664200999992
book,55,548.8852972999994,11,gr1nr2,545.120964400001,faceWord_exp,Monday,42,0.6812151000012818,female,0.3711757999990368,31,546.1193103000005,180,548.2007382000011,336,0.684559099998296,7.05,25,pos,b,image_stim_p.png,548.5719140000001,1,5,-1.1429809241505904,21,544.4397492999997
dime,56,561.5578982999978,13,gr1nr2,555.1960292000003,faceWord_exp,Monday,42,0.6854299000005994,female,0.6475030000001425,42,556.1954678000002,336,560.8787292999987,180,0.6791689999990922,5.58,25,neu,y,image_stim_n.png,561.5262322999988,1,5,-0.8220066925000616,22,554.5105992999997
whine,57,571.6163159999996,12,gr1nr2,565.271678699999,faceWord_exp,Monday,42,0.695896500001254,female,0.3325373000006948,32,566.2690316000007,336,570.9357670999998,180,0.6805488999998488,2.82,25,neg,y,image_stim_n.png,571.2683044000005,1,5,3.0668244091236065,22,564.5757821999978
umbrella,58,581.6581795999991,13,gr1nr2,575.3299729999999,faceWord_exp,Monday,42,0.6838612999999896,female,0.44030819999898085,42,576.3306076000008,336,580.9712588000002,180,0.6869207999989158,5.84,25,neu,y,image_stim_n.png,581.4115669999992,1,5,0.002541127499528235,22,574.6461116999999
grief,59,591.7472907999982,12,gr1nr2,585.3710033999996,faceWord_exp,Monday,42,0.6928752999992867,female,0.34356900000057067,32,586.3719453999984,336,591.0595983999992,180,0.6876923999989231,2.33,25,neg,y,image_stim_n.png,591.4031673999998,1,5,4.735833249102137,22,584.6781281000003
hierarchy,60,599.2928432999979,12,gr1nr2,595.4627555000006,faceWord_exp,Monday,42,0.6866614000027766,female,0.4289870000029623,32,596.4634236999991,180,598.6007007999979,336,0.6921425000000454,4.95,25,neg,y,image_stim_n.png,599.0296878000008,1,5,1.0236166268558873,22,594.7760940999979
